Time(s),Roll_Filtered,Pitch_Filtered,Yaw_Filtered,Label
11.324,7.520409756906164,-77.07437356102048,-3.696314307787937,0
11.375,7.639847205626229,-77.05729249638311,-3.9803362106157163,0
11.424,7.751229560103273,-77.04505479625146,-4.23716766099384,0
11.474,7.82602734922028,-77.03624437408558,-4.431490555816987,0
11.525,7.8413069930040065,-77.02811285524889,-4.536893424294777,0
11.574,7.78506370437742,-77.01748088627176,-4.54287688625961,0
11.624,7.659046845000573,-77.0019911512151,-4.45767882979536,0
11.674,7.478142617061291,-76.98107409137889,-4.305766657637027,0
11.724,7.266773839742286,-76.95605674589237,-4.121004350292269,0
11.774,7.054081045121291,-76.92921410293145,-3.938395933408444,0
11.824,6.8699421577527975,-76.90208459046106,-3.787788091624115,0
11.875,6.7428667847694035,-76.87377072769995,-3.69162569828334,0
11.925,6.699095011126658,-76.84000032450125,-3.666512900926862,0
11.974,6.760973290052493,-76.79344120182995,-3.726228069525899,0
12.025,6.942847203151663,-76.72534424999337,-3.8831062981753335,0
12.073,7.244581942204819,-76.62821006658406,-4.145832526959112,0
12.124,7.645544196055058,-76.4988369985045,-4.514244917727486,0
12.174,8.10350809340911,-76.34076517999799,-4.97427455122392,0
12.224,8.561664249880858,-76.1649190690495,-5.496861072135379,0
12.274,8.962887579545614,-75.98752461650578,-6.04293537361204,0
12.324,9.266169352676092,-75.8253956345534,-6.573451625171872,0
12.372,9.458444438932544,-75.69015798369972,-7.060724701562735,0
12.423,9.556852575279107,-75.58399842284462,-7.496212126426203,0
12.473,9.600653917948126,-75.49917337830367,-7.891058101530821,0
12.523,9.636543367436614,-75.42173303342136,-8.269096277113313,0
12.572,9.703828368336127,-75.33774389637789,-8.655918320783904,0
12.622,9.825402465914827,-75.23911557239778,-9.06944974927931,0
12.674,10.0069447567189,-75.12658162655745,-9.51594286616903,0
12.723,10.242402176729186,-75.00894541614338,-9.991663767929776,0
12.772,10.521114238750704,-74.8993770894605,-10.487441026601191,0
12.823,10.832241053278144,-74.8105750022304,-10.9925077863974,0
12.873,11.16484029352974,-74.75068929498987,-11.4956687812754,0
12.923,11.505072405537545,-74.72121696840394,-11.984263949363681,0
12.973,11.833745135980884,-74.71713857089665,-12.442995586654815,0
13.022,12.12701247769579,-74.7288614815954,-12.854618746128294,0
13.073,12.361004889083283,-74.74517386746092,-13.203087426144377,0
13.122,12.51873991259477,-74.75627806285853,-13.478055017178729,0
13.173,12.596237735062891,-74.75604187140655,-13.678705362150039,0
13.223,12.605086785822659,-74.74294703452813,-13.815167613038371,0
13.273,12.570384174894707,-74.7197305422679,-13.906880936932382,0
13.323,12.524887698178228,-74.69211614652383,-13.978482586708024,0
13.371,12.50139997697841,-74.66711307331498,-14.054543007091373,0
13.422,12.52560153363161,-74.65122315727098,-14.1546222193661,0
13.472,12.611035799844286,-74.648817246167,-14.289803546038577,0
13.522,12.757126018034668,-74.6610045445988,-14.461306064394119,0
13.573,12.95027673686129,-74.68535617309965,-14.66121434582998,0
13.622,13.167466293369287,-74.71668205333044,-14.874934728223774,0
13.672,13.381347507638806,-74.74870495716397,-15.084726697243486,0
13.722,13.56571843438541,-74.77608050815961,-15.273528486698495,0
13.772,13.700251664043764,-74.79598862558232,-15.428260064314616,0
13.822,13.773595172464391,-74.80864713639312,-15.541904119884824,0
13.872,13.784415028867484,-74.81656980005558,-15.614037152789956,0
13.922,13.74054347385591,-74.82297893645158,-15.650028216208682,0
13.97,13.656895041941876,-74.83018602187056,-15.659549179403916,0
14.02,13.552990457239469,-74.83876618810757,-15.655089344936803,0
